"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7690,2310,9539,9998,10000,461,2,0
"2",2,9222,778,9841,9988,10000,159,12,0
"3",3,8901,1099,9644,9933,10000,356,67,0
"4",4,8889,1111,9789,9986,10000,211,14,0
"5",5,8972,1028,9829,9984,10000,171,16,0
"6",6,9067,933,9809,9988,10000,191,12,0
"7",7,8957,1043,9854,9981,10000,146,19,0
"8",8,8853,1147,9798,9977,10000,202,23,0
"9",9,8976,1024,9593,9888,10000,407,112,0
"10",10,9227,773,9658,9854,10000,342,146,0
"11",11,8928,1072,9624,9915,10000,376,85,0
"12",12,9032,968,9684,9882,10000,316,118,0
"13",13,9202,798,9587,9954,10000,413,46,0
"14",14,9370,630,9802,9986,10000,198,14,0
"15",15,9166,834,9673,9910,10000,327,90,0
"16",16,9167,833,9651,9948,10000,349,52,0
"17",17,9065,935,9919,9964,10000,81,36,0
"18",18,9383,617,9861,9957,10000,139,43,0
"19",19,9228,772,9741,9989,10000,259,11,0
"20",20,9205,795,9696,9931,10000,304,69,0
"21",21,9232,768,9799,9937,10000,201,63,0
"22",22,9101,899,9811,9993,10000,189,7,0
"23",23,8856,1144,9712,10000,10000,288,0,0
"24",24,9045,955,9863,9936,10000,137,64,0
"25",25,8774,1226,9844,9938,10000,156,62,0
"26",26,9098,902,9866,9995,10000,134,5,0
"27",27,9113,887,9939,9980,10000,61,20,0
"28",28,513,32,545,545,545,0,0,0
