"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,9221,779,9814,9997,10000,186,3,0
"2",2,9234,766,9842,9990,10000,158,10,0
"3",3,8887,1113,9641,9937,10000,359,63,0
"4",4,8891,1109,9789,9985,10000,211,15,0
"5",5,8989,1011,9835,9984,10000,165,16,0
"6",6,9097,903,9821,9989,10000,179,11,0
"7",7,8972,1028,9860,9980,10000,140,20,0
"8",8,8940,1060,9819,9981,10000,181,19,0
"9",9,9031,969,9611,9891,10000,389,109,0
"10",10,9275,725,9666,9867,10000,334,133,0
"11",11,8969,1031,9636,9922,10000,364,78,0
"12",12,9064,936,9687,9883,10000,313,117,0
"13",13,9234,766,9605,9959,10000,395,41,0
"14",14,9391,609,9803,9980,10000,197,20,0
"15",15,9206,794,9673,9911,10000,327,89,0
"16",16,9206,794,9653,9950,10000,347,50,0
"17",17,9112,888,9919,9960,10000,81,40,0
"18",18,9441,559,9872,9956,10000,128,44,0
"19",19,9274,726,9746,9990,10000,254,10,0
"20",20,9253,747,9711,9930,10000,289,70,0
"21",21,9287,713,9822,9943,10000,178,57,0
"22",22,9136,864,9811,9994,10000,189,6,0
"23",23,8864,1136,9715,10000,10000,285,0,0
"24",24,9071,929,9865,9937,10000,135,63,0
"25",25,8764,1236,9840,9938,10000,160,62,0
"26",26,9137,863,9872,9995,10000,128,5,0
"27",27,9106,894,9944,9979,10000,56,21,0
"28",28,515,30,545,545,545,0,0,0
