"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,9020,980,9789,9995,10000,211,5,0
"2",2,8946,1054,9792,9985,10000,208,15,0
"3",3,8565,1435,9589,9930,10000,411,70,0
"4",4,8635,1365,9758,9982,10000,242,18,0
"5",5,8624,1376,9736,9977,10000,264,23,0
"6",6,8734,1266,9748,9981,10000,252,19,0
"7",7,8643,1357,9799,9978,10000,201,22,0
"8",8,8510,1490,9736,9974,10000,264,26,0
"9",9,8618,1382,9512,9865,10000,488,135,0
"10",10,8990,1010,9576,9823,10000,424,177,0
"11",11,8722,1278,9584,9906,10000,416,94,0
"12",12,8766,1234,9602,9862,10000,398,138,0
"13",13,8954,1046,9525,9933,10000,475,67,0
"14",14,9084,916,9752,9975,10000,248,25,0
"15",15,8933,1067,9635,9897,10000,365,103,0
"16",16,8881,1119,9574,9945,10000,426,55,0
"17",17,8763,1237,9895,9945,10000,105,55,0
"18",18,9079,921,9816,9934,10000,184,66,0
"19",19,8878,1122,9711,9989,10000,289,11,0
"20",20,8811,1189,9582,9906,10000,418,94,0
"21",21,8774,1226,9736,9917,10000,264,83,0
"22",22,8558,1442,9750,9992,10000,250,8,0
"23",23,8563,1437,9627,9999,10000,373,1,0
"24",24,8749,1251,9820,9938,10000,180,62,0
"25",25,8521,1479,9814,9923,10000,186,77,0
"26",26,8738,1262,9793,9993,10000,207,7,0
"27",27,8624,1376,9868,9949,10000,132,51,0
"28",28,493,52,543,545,545,2,0,0
